customer_id,recency,frequency,monetary,monetary_log,R_score,F_score,M_score,RFM_score,RFM_total,avg_basket_size,unique_products,unique_categories,weekend_ratio,segment,segment_label
C00001,83,12,428.32,6.062202561613324,2,3,3,233,8,35.693333333333335,12,12,0.16666666666666666,4,Champions
C00002,202,2,26.79,3.3246762437544124,1,1,1,111,3,13.395,2,2,0.0,0,Lost / Hibernating
C00003,77,13,575.71,6.357339540509178,2,3,3,233,8,44.285384615384615,12,12,0.3076923076923077,4,Champions
C00004,76,3,61.5,4.135166556742356,2,2,1,221,5,20.5,3,3,0.0,0,Lost / Hibernating
C00005,34,15,472.21,6.15953926459438,3,3,3,333,9,31.480666666666664,13,13,0.4,4,Champions
C00007,3,2,93.5,4.548599834499697,5,1,2,512,8,46.75,2,2,0.0,4,Champions
C00009,32,7,125.72,4.841979928066116,3,3,2,332,8,17.96,6,6,0.2857142857142857,4,Champions
C00010,176,1,35.44,3.5956670723917576,1,1,1,111,3,35.44,1,1,1.0,3,Lost / Hibernating
C00012,4,34,1454.71,7.283249033094317,5,4,5,545,14,42.78558823529412,30,30,0.4411764705882353,4,Champions
C00013,49,6,179.76000000000002,5.197170184543079,2,2,2,222,6,29.960000000000004,6,6,0.5,4,Champions
C00014,44,5,75.62,4.338858139272503,2,2,2,222,6,15.124,5,5,0.0,0,Lost / Hibernating
C00015,114,2,23.71,3.2072080200005186,1,1,1,111,3,11.855,2,2,0.5,3,Lost / Hibernating
C00017,4,84,3404.55,8.133161732705437,5,5,5,555,15,40.53035714285714,51,51,0.2261904761904762,1,Champions
C00018,311,1,57.24,4.06457240388843,1,1,1,111,3,57.24,1,1,0.0,0,Lost / Hibernating
C00019,5,5,221.53,5.405061923978025,5,2,2,522,9,44.306,5,5,0.0,4,Champions
C00020,15,8,235.63,5.46649773978696,3,3,2,332,8,29.45375,7,7,0.375,4,Champions
C00021,3,46,2332.46,7.755107423610211,5,5,5,555,15,50.705652173913045,35,35,0.391304347826087,1,Champions
C00022,1,35,1692.37,7.43447590521329,5,4,5,545,14,48.353428571428566,31,31,0.2571428571428571,4,Champions
C00023,13,107,4301.83,8.367028224737691,4,5,5,455,14,40.204018691588786,55,55,0.2803738317757009,1,Champions
C00025,307,2,67.73,4.230185785133514,1,1,1,111,3,33.865,2,2,0.0,0,Lost / Hibernating
C00026,190,2,243.72000000000003,5.500114699842648,1,1,3,113,5,121.86000000000001,2,2,0.5,2,Lost / Hibernating
C00027,123,1,8.76,2.278292400425001,1,1,1,111,3,8.76,1,1,0.0,0,Lost / Hibernating
C00028,32,2,96.36999999999999,4.578518154990665,3,1,2,312,6,48.184999999999995,2,2,0.0,0,Lost / Hibernating
C00029,110,4,226.27,5.426138737985921,1,2,2,122,5,56.5675,4,4,0.5,3,Lost / Hibernating
C00030,53,4,107.05,4.682594082952895,2,2,2,222,6,26.7625,4,4,0.5,3,Lost / Hibernating
C00032,9,17,401.11,5.996725683029453,4,4,3,443,11,23.59470588235294,15,15,0.23529411764705882,4,Champions
C00034,53,5,110.34,4.7125885827553615,2,2,2,222,6,22.068,4,4,0.2,0,Lost / Hibernating
C00035,131,5,180.12,5.199159795014818,1,2,2,122,5,36.024,5,5,0.4,3,Lost / Hibernating
C00036,52,5,266.95,5.590800395940859,2,2,3,223,7,53.39,5,5,0.2,4,Champions
C00037,101,4,79.19,4.384398818818937,2,2,2,222,6,19.7975,4,4,0.25,0,Lost / Hibernating
C00038,14,14,388.26,5.964247500814429,4,3,3,433,10,27.732857142857142,14,14,0.35714285714285715,4,Champions
C00040,21,12,309.62,5.738570300141865,3,3,3,333,9,25.801666666666666,12,12,0.5,4,Champions
C00041,6,111,4628.51,8.44020630994625,4,5,5,455,14,41.69828828828829,58,58,0.24324324324324326,1,Champions
C00042,6,60,2082.62,7.6418620445963255,4,5,5,455,14,34.71033333333333,45,45,0.38333333333333336,1,Champions
C00046,34,8,297.05,5.697261257665936,3,3,3,333,9,37.13125,8,8,0.125,4,Champions
C00048,32,40,2146.96,7.672273833481435,3,5,5,355,13,53.674,29,29,0.175,4,Champions
C00049,110,4,108.47999999999999,4.695741884172478,1,2,2,122,5,27.119999999999997,3,3,0.0,0,Lost / Hibernating
C00051,45,23,1217.22,7.105146055933024,2,4,4,244,10,52.92260869565217,20,20,0.21739130434782608,4,Champions
C00052,306,1,99.45,4.609660091260944,1,1,2,112,4,99.45,1,1,0.0,2,Lost / Hibernating
C00053,6,94,4286.08,8.363361127492208,4,5,5,455,14,45.59659574468085,55,55,0.2872340425531915,1,Champions
C00054,1,34,1014.33,6.922968961787518,5,4,4,544,13,29.83323529411765,28,28,0.20588235294117646,4,Champions
C00057,321,1,67.02,4.21980177957905,1,1,1,111,3,67.02,1,1,0.0,0,Lost / Hibernating
C00058,66,5,106.53,4.677769878402435,2,2,2,222,6,21.306,4,4,0.0,0,Lost / Hibernating
C00060,5,34,1810.2,7.501744888008864,5,4,5,545,14,53.241176470588236,29,29,0.20588235294117646,4,Champions
C00062,1,128,5080.77,8.533414905083415,5,5,5,555,15,39.693515625,70,70,0.296875,1,Champions
C00063,129,3,71.53999999999999,4.284138133854756,1,2,1,121,4,23.846666666666664,3,3,0.3333333333333333,0,Lost / Hibernating
C00065,34,16,555.59,6.321828882706896,3,4,3,343,10,34.724375,13,13,0.1875,4,Champions
C00067,189,2,75.47,4.336898507056134,1,1,2,112,4,37.735,2,2,1.0,3,Lost / Hibernating
C00068,39,22,1005.45,6.914184566747041,2,4,4,244,10,45.70227272727273,19,19,0.18181818181818182,4,Champions
C00069,31,11,381.21000000000004,5.945970195775772,3,3,3,333,9,34.655454545454546,10,10,0.45454545454545453,4,Champions
C00070,116,1,19.44,3.017493765335504,1,1,1,111,3,19.44,1,1,0.0,0,Lost / Hibernating
C00071,59,1,5.37,1.851599469584072,2,1,1,211,4,5.37,1,1,0.0,0,Lost / Hibernating
C00072,12,32,1297.45,7.1689265243930045,4,4,4,444,12,40.5453125,27,27,0.3125,4,Champions
C00073,6,35,1174.38,7.069346778549694,4,4,4,444,12,33.553714285714285,29,29,0.4,4,Champions
C00074,17,4,93.43,4.547858819274978,3,2,2,322,7,23.3575,4,4,0.25,4,Champions
C00075,1,106,3494.89,8.159343271749515,5,5,5,555,15,32.97066037735849,62,62,0.330188679245283,1,Champions
C00076,7,54,1857.78,7.527675637523069,4,5,5,455,14,34.403333333333336,42,42,0.2962962962962963,1,Champions
C00078,3,198,6477.13,8.776187167452115,5,5,5,555,15,32.71277777777778,79,79,0.2828282828282828,1,Champions
C00080,19,25,781.5799999999999,6.662596153610247,3,4,4,344,11,31.263199999999998,20,20,0.16,4,Champions
C00081,10,11,533.92,6.282117203004596,4,3,3,433,10,48.53818181818181,11,11,0.45454545454545453,4,Champions
C00083,211,1,6.73,2.0451088625993306,1,1,1,111,3,6.73,1,1,1.0,3,Lost / Hibernating
