customer_id,age,gender,loyalty_member,location
C00000,79,F,True,Nottingham
C00001,40,F,False,London
C00002,26,M,True,Manchester
C00003,29,F,True,Nottingham
C00004,70,M,False,Manchester
C00005,18,M,True,Nottingham
C00006,75,F,True,London
C00007,75,M,False,London
C00008,18,F,True,Birmingham
C00009,64,F,False,Birmingham
C00010,51,F,False,Manchester
C00011,49,F,True,London
C00012,79,M,True,Birmingham
C00013,71,F,True,London
C00014,65,F,True,Nottingham
C00015,42,F,False,Birmingham
C00016,57,F,False,Manchester
C00017,62,F,True,Birmingham
C00018,70,F,True,London
C00019,18,M,True,Leeds
C00020,33,F,True,Leeds
C00021,78,F,False,London
C00022,56,F,True,Nottingham
C00023,22,F,False,Birmingham
C00024,39,M,False,Leeds
C00025,46,F,False,Nottingham
C00026,72,F,True,London
C00027,20,F,False,Nottingham
C00028,29,M,True,London
C00029,43,M,False,Birmingham
C00030,33,F,True,Nottingham
C00031,68,M,True,Birmingham
C00032,54,M,True,Nottingham
C00033,39,M,True,London
C00034,74,M,True,London
C00035,46,F,False,Nottingham
C00036,31,F,True,London
C00037,45,F,True,Manchester
C00038,22,F,True,Manchester
C00039,64,Other,True,Birmingham
C00040,66,F,True,Manchester
C00041,47,F,True,Manchester
C00042,63,M,True,Leeds
C00043,79,F,True,Leeds
C00044,69,F,False,Leeds
C00045,22,F,True,Leeds
C00046,29,F,False,London
C00047,33,M,True,Birmingham
C00048,43,F,True,Birmingham
C00049,43,F,True,Manchester
C00050,65,F,True,Birmingham
C00051,38,F,False,Manchester
C00052,56,M,False,Birmingham
C00053,53,F,True,Nottingham
C00054,50,F,True,Nottingham
C00055,79,M,True,Birmingham
C00056,47,M,True,London
C00057,54,F,True,Manchester
C00058,40,F,False,Birmingham
C00059,75,M,False,Manchester
C00060,27,M,False,Leeds
C00061,71,F,False,Birmingham
C00062,22,Other,False,London
C00063,53,F,True,Leeds
C00064,51,F,True,Birmingham
C00065,69,F,True,Nottingham
C00066,48,F,False,Birmingham
C00067,27,M,False,Nottingham
C00068,75,F,False,Nottingham
C00069,36,F,False,Birmingham
C00070,75,M,False,Birmingham
C00071,49,F,False,Nottingham
C00072,18,F,True,Manchester
C00073,73,F,False,Leeds
C00074,22,F,True,London
C00075,62,F,True,Birmingham
C00076,21,M,False,Leeds
C00077,33,F,False,Leeds
C00078,41,F,True,Manchester
C00079,33,M,True,Leeds
C00080,72,M,False,Birmingham
C00081,19,F,True,Leeds
C00082,66,F,False,Birmingham
C00083,45,F,True,Birmingham
C00084,49,F,True,Nottingham
C00085,44,F,True,Manchester
C00086,37,F,True,London
C00087,41,M,True,Nottingham
C00088,29,F,False,London
C00089,67,M,True,Birmingham
C00090,52,F,True,Nottingham
C00091,77,M,True,Leeds
C00092,50,M,True,Leeds
C00093,50,M,False,London
C00094,78,F,True,Birmingham
C00095,68,F,False,London
C00096,60,F,True,Manchester
C00097,54,M,True,Leeds
C00098,29,F,True,Nottingham
C00099,20,F,True,Nottingham
C00100,18,F,False,Nottingham
C00101,50,F,True,Leeds
C00102,57,F,False,Birmingham
C00103,27,F,True,Leeds
C00104,60,Other,False,Leeds
C00105,61,M,False,Nottingham
C00106,46,Other,True,Leeds
C00107,30,F,True,Nottingham
C00108,29,M,False,Birmingham
C00109,48,M,True,Manchester
C00110,63,M,True,Nottingham
C00111,19,M,True,London
C00112,78,F,False,Manchester
C00113,68,M,False,Birmingham
C00114,67,F,True,Manchester
C00115,52,F,True,Nottingham
C00116,40,F,False,Birmingham
C00117,34,M,True,London
C00118,43,M,True,Nottingham
C00119,25,Other,True,Nottingham
C00120,46,M,False,Birmingham
C00121,43,F,True,Birmingham
C00122,27,F,False,Manchester
C00123,43,F,True,London
C00124,79,F,False,Manchester
C00125,51,F,False,Manchester
C00126,68,F,True,Nottingham
C00127,58,F,True,Birmingham
C00128,24,M,True,Nottingham
C00129,21,F,True,London
C00130,75,M,False,Manchester
C00131,70,M,True,London
C00132,67,F,False,Birmingham
C00133,62,F,True,Birmingham
C00134,28,F,True,Leeds
C00135,46,F,True,London
C00136,73,M,True,Nottingham
C00137,53,F,True,London
C00138,42,F,False,Manchester
C00139,38,F,True,Birmingham
C00140,78,Other,True,Birmingham
C00141,74,M,False,London
C00142,53,M,False,London
C00143,27,F,True,London
C00144,54,M,True,Manchester
C00145,26,M,True,Manchester
C00146,41,M,False,Nottingham
C00147,52,Other,False,London
C00148,66,F,False,Nottingham
