customer_id,recency,frequency,monetary,monetary_log,R_score,F_score,M_score,RFM_score,RFM_total,avg_basket_size,unique_products,unique_categories,weekend_ratio,segment,segment_label
C00002,62,14,514.9100000000001,6.245932331664218,2,3,4,234,9,36.77928571428572,14,14,0.35714285714285715,0,Champions
C00003,84,1,16.44,2.8587664184808337,2,1,1,211,4,16.44,1,1,0.0,2,Lost / Hibernating
C00005,18,22,546.74,6.305800721805045,3,4,4,344,11,24.85181818181818,17,17,0.4090909090909091,0,Champions
C00006,93,23,958.26,6.866162153883774,2,4,4,244,10,41.66347826086957,23,23,0.21739130434782608,0,Champions
C00007,2,143,4579.29,8.429517593880973,5,5,5,555,15,32.023006993006994,72,72,0.3006993006993007,4,Champions
C00008,6,31,1011.45,6.920128415045278,4,4,4,444,12,32.627419354838715,25,25,0.3548387096774194,0,Champions
C00009,29,13,182.57999999999998,5.212650539790944,3,3,2,332,8,14.044615384615383,11,11,0.46153846153846156,0,Champions
C00011,170,2,18.880000000000003,2.989714201228428,1,1,1,111,3,9.440000000000001,2,2,0.0,2,Lost / Hibernating
C00013,4,17,512.49,6.241230554982299,5,4,4,544,13,30.146470588235296,16,16,0.35294117647058826,0,Champions
C00014,30,5,60.779999999999994,4.123579687490436,3,2,1,321,6,12.155999999999999,5,5,0.4,0,Champions
C00015,236,1,25.52,3.277899165317662,1,1,1,111,3,25.52,1,1,1.0,1,Lost / Hibernating
C00017,16,9,164.17000000000002,5.106975246532999,3,3,2,332,8,18.241111111111113,9,9,0.6666666666666666,1,Lost / Hibernating
C00019,63,5,120.35000000000001,4.798678932172611,2,2,2,222,6,24.07,5,5,0.4,0,Champions
C00021,222,3,126.51,4.848194792895451,1,2,2,122,5,42.17,3,3,0.3333333333333333,2,Lost / Hibernating
C00025,1,33,637.96,6.459841854609134,5,4,4,544,13,19.332121212121212,26,26,0.36363636363636365,0,Champions
C00026,18,1,21.6,3.1179499062782403,3,1,1,311,5,21.6,1,1,0.0,2,Lost / Hibernating
C00027,21,6,161.25,5.0891383555842,3,2,2,322,7,26.875,6,6,0.3333333333333333,0,Champions
C00028,5,58,1629.31,7.3965254597671946,5,5,5,555,15,28.09155172413793,37,37,0.27586206896551724,4,Champions
C00030,13,43,1828.48,7.511787052450887,4,5,5,455,14,42.52279069767442,30,30,0.18604651162790697,0,Champions
C00031,3,111,3728.63,8.224064312007185,5,5,5,555,15,33.59126126126126,66,66,0.2972972972972973,4,Champions
C00032,191,3,424.08000000000004,6.052277386504494,1,2,3,123,6,141.36,3,3,0.0,3,Lost / Hibernating
C00033,68,8,513.85,6.24387559610276,2,3,4,234,9,64.23125,8,8,0.375,0,Champions
C00035,9,7,353.55,5.870849379750005,4,2,3,423,9,50.50714285714286,7,7,0.2857142857142857,0,Champions
C00037,38,2,10.719999999999999,2.4612967841488667,2,1,1,211,4,5.359999999999999,2,2,0.0,2,Lost / Hibernating
C00038,26,8,237.59,5.474746597637154,3,3,3,333,9,29.69875,8,8,0.375,0,Champions
C00039,310,1,12.78,2.6232182655855123,1,1,1,111,3,12.78,1,1,0.0,2,Lost / Hibernating
